Connect Data Download
Order Book - 66005
Date: 01/01/1970
"# Name","# ISIN","MIC"
"","NL0000009132","XAMS"
""
"# ORDERS","# SHARES","BID PRICE","","ASK PRICE","# SHARES","# ORDERS"
"5","547","74.30","","74.32","773","6"
"11","955","74.28","","74.34","1045","8"
"10","948","74.26","","74.36","1196","9"
"14","1860","74.24","","74.38","1090","8"
"10","1106","74.22","","74.40","1402","8"
"11","1775","74.20","","74.42","1559","6"
"9","1094","74.18","","74.44","2163","4"
"9","1039","74.16","","74.46","202","3"
"8","965","74.14","","74.48","1329","3"
"9","3455","74.12","","74.50","132","2"
"96","13744","","Total","","10891","57"
